label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
D,0.008806,-0.027990,0.283395,0.167363,0.324928,0.323461,0.460449,0.429444,0.475293,0.526542,-0.006782,0.513841,-0.036684,0.754684,0.025372,0.890400,0.059315,0.965570,0.004068,0.498200,0.207691,0.670498,0.389862,0.601802,0.426606,0.544611,0.026374,0.501677,0.128735,0.703387,0.333488,0.618594,0.420086,0.470169,0.027240,0.543768,0.121041,0.733607,0.288170,0.697057,0.327180,0.685418
D,0.010042,0.032368,0.241958,0.159945,0.396822,0.301578,0.457995,0.364480,0.463735,0.593991,0.028680,0.523846,-0.033819,0.742278,0.065381,0.889274,0.026758,0.990392,-0.009800,0.534213,0.184638,0.724857,0.354535,0.620941,0.423767,0.491411,0.008284,0.473937,0.119121,0.723515,0.328919,0.582205,0.404415,0.490308,0.068918,0.589810,0.057889,0.773674,0.278533,0.732907,0.331244,0.692126
D,0.011147,0.025912,0.250249,0.183091,0.367019,0.233885,0.428313,0.412328,0.456850,0.594346,0.074211,0.530606,0.027400,0.750064,-0.018741,0.862966,-0.013219,1.024524,-0.011453,0.530409,0.164724,0.693817,0.396085,0.634231,0.459657,0.508437,-0.032670,0.560829,0.169273,0.736418,0.367033,0.624227,0.399604,0.485251,0.039024,0.554169,0.139732,0.724809,0.204622,0.760487,0.343788,0.724082
D,-0.000000,0.000000,0.188455,0.131391,0.311316,0.269685,0.440675,0.346282,0.491162,0.446784,0.012089,0.505642,0.065974,0.744563,0.098437,0.891860,0.103313,0.994649,0.000000,0.496102,0.248898,0.672874,0.406305,0.601444,0.462489,0.492461,0.026478,0.466751,0.240379,0.674995,0.401236,0.594094,0.471277,0.474452,0.101855,0.425302,0.249727,0.593800,0.375030,0.566326,0.454097,0.502209
D,-0.024725,-0.014953,0.182386,0.119080,0.322162,0.302421,0.481904,0.332277,0.473204,0.469851,-0.019572,0.525765,0.058875,0.731330,0.014031,0.899812,0.138341,0.959101,0.008480,0.511088,0.233064,0.685822,0.433199,0.606932,0.479085,0.484633,0.050844,0.415344,0.263482,0.711951,0.378706,0.570819,0.519821,0.486031,0.056159,0.418726,0.198072,0.587066,0.374171,0.584714,0.454970,0.550104
D,0.003419,-0.057214,0.206912,0.134619,0.306190,0.301343,0.465650,0.320370,0.499293,0.492384,0.014410,0.467016,0.077872,0.735239,0.099429,0.863106,0.113401,0.977255,0.024221,0.536623,0.254490,0.644351,0.383665,0.606763,0.472065,0.476665,0.020463,0.484175,0.272494,0.674737,0.419586,0.593975,0.480682,0.454913,0.113588,0.466305,0.260727,0.606385,0.348315,0.576565,0.392461,0.521826
D,0.043153,-0.015919,0.181299,0.160066,0.286643,0.283730,0.418156,0.363476,0.483878,0.364165,-0.019425,0.502838,0.121984,0.737242,0.076945,0.901195,0.010829,1.032896,0.018493,0.480948,0.270583,0.681916,0.402314,0.617840,0.459861,0.497537,0.043145,0.455445,0.236592,0.639926,0.362675,0.543102,0.482211,0.465025,0.066545,0.413764,0.217913,0.599301,0.404623,0.606147,0.449459,0.496904
D,-0.000000,0.000000,0.175432,0.138677,0.309251,0.281349,0.446900,0.355249,0.505375,0.452611,0.006693,0.526606,0.063837,0.761801,0.105117,0.900590,0.109957,0.993936,0.000000,0.510046,0.270737,0.681363,0.431278,0.597462,0.476475,0.480845,0.029801,0.474644,0.246378,0.675406,0.403420,0.595712,0.463399,0.480426,0.106821,0.424761,0.260359,0.600564,0.384886,0.573935,0.452869,0.506982
D,-0.054147,-0.043843,0.215496,0.143891,0.342961,0.224805,0.444621,0.303208,0.440295,0.425756,0.061377,0.502425,0.101376,0.754064,0.142037,0.921032,0.149502,0.979649,0.008000,0.513640,0.346929,0.708323,0.426962,0.658461,0.539961,0.461556,0.038184,0.463206,0.199171,0.680905,0.311811,0.598131,0.461841,0.478523,0.100431,0.411816,0.209096,0.558541,0.383171,0.572438,0.478671,0.492731
D,-0.032225,-0.009336,0.109424,0.143976,0.326424,0.320965,0.455180,0.321391,0.484603,0.447075,-0.014432,0.491375,0.045595,0.790822,0.116273,0.926147,0.086272,1.035055,0.010365,0.522107,0.269010,0.607070,0.472591,0.606567,0.445856,0.542932,0.030308,0.463424,0.217038,0.656446,0.355124,0.582263,0.459535,0.497000,0.052176,0.400570,0.223261,0.627655,0.405057,0.516587,0.444544,0.548932
D,0.022080,-0.010445,0.188223,0.162561,0.362125,0.268305,0.487723,0.338737,0.487397,0.447098,0.011480,0.549232,0.060944,0.746522,0.079395,0.918380,0.111123,1.002795,0.011841,0.551883,0.304312,0.703813,0.426726,0.559081,0.462061,0.478102,0.009297,0.491589,0.248390,0.648455,0.444218,0.608962,0.466429,0.513068,0.083204,0.406084,0.249591,0.616294,0.394788,0.667775,0.423789,0.509588
D,-0.000000,0.000000,0.183168,0.140676,0.312786,0.284235,0.447565,0.358916,0.502421,0.457165,0.006570,0.520523,0.065536,0.755508,0.096279,0.898145,0.099899,0.994998,0.000000,0.502611,0.253382,0.677674,0.413566,0.605568,0.475696,0.494184,0.026925,0.467841,0.232181,0.670760,0.391782,0.595339,0.462323,0.479366,0.098794,0.420043,0.244927,0.591757,0.371646,0.569326,0.448859,0.506221
D,-0.007968,0.013276,0.209198,0.147668,0.323847,0.273455,0.496591,0.344770,0.408462,0.439219,0.078051,0.485039,0.079982,0.731558,0.110246,0.931329,0.086159,1.033392,0.032493,0.512178,0.251215,0.670990,0.389150,0.571859,0.493228,0.504516,0.039394,0.498123,0.231481,0.710862,0.342882,0.649242,0.461386,0.458228,0.095424,0.467497,0.225100,0.594720,0.340599,0.581379,0.486440,0.514835
D,-0.010858,-0.012273,0.186542,0.157109,0.338870,0.253016,0.433026,0.402361,0.517360,0.461592,0.030074,0.450351,0.085732,0.831259,0.098542,0.906532,0.090117,0.966343,-0.014904,0.529514,0.270373,0.651537,0.394600,0.587191,0.480678,0.488233,0.024842,0.435617,0.280885,0.679749,0.376103,0.571470,0.450784,0.514496,0.144061,0.401027,0.231791,0.541601,0.323321,0.573336,0.439427,0.495439
D,-0.014865,0.009629,0.187063,0.171906,0.390827,0.252122,0.410502,0.407389,0.500695,0.481381,-0.027085,0.488731,0.091560,0.717987,0.139364,0.923472,0.079311,1.041739,0.016333,0.496613,0.256237,0.619706,0.373551,0.628837,0.482335,0.538154,0.038866,0.431972,0.201233,0.646258,0.374302,0.600015,0.498013,0.498212,0.136676,0.432207,0.232347,0.550172,0.390582,0.566497,0.472642,0.488106
D,-0.000000,0.000000,0.176878,0.152564,0.309175,0.287894,0.444924,0.360850,0.497623,0.459164,0.001095,0.527331,0.068190,0.758527,0.111151,0.897940,0.127786,0.991802,0.000000,0.510472,0.276133,0.684416,0.428460,0.603319,0.477981,0.486997,0.032932,0.477613,0.242799,0.675720,0.394450,0.598764,0.461469,0.485867,0.109105,0.429804,0.255145,0.603484,0.378940,0.577463,0.454191,0.512911
D,0.049015,0.049147,0.150715,0.162436,0.262076,0.263287,0.418717,0.342740,0.489452,0.435838,0.005700,0.481418,0.097976,0.726642,0.106447,0.885195,0.158650,0.981954,0.043750,0.521213,0.248074,0.678023,0.427136,0.625352,0.483038,0.480343,0.009999,0.491941,0.232204,0.654082,0.363593,0.629531,0.416901,0.500273,0.109741,0.413406,0.233634,0.604032,0.362816,0.560155,0.484009,0.508288
D,0.000224,-0.024064,0.206720,0.189209,0.315730,0.330713,0.428611,0.388429,0.486242,0.444697,0.043051,0.516448,0.039514,0.704083,0.111397,0.867155,0.187027,1.044006,-0.089980,0.559528,0.252678,0.721979,0.460241,0.643558,0.531958,0.452263,0.001553,0.501900,0.246170,0.696002,0.383952,0.625317,0.422600,0.544683,0.183174,0.375677,0.302054,0.551376,0.396398,0.548832,0.467981,0.475407
D,0.012215,-0.005624,0.168899,0.163313,0.257945,0.306475,0.435526,0.314374,0.518008,0.440497,-0.000504,0.537140,0.066129,0.757547,0.128817,0.889674,0.158471,1.026212,-0.017557,0.493667,0.294902,0.734652,0.461377,0.576372,0.469235,0.462478,0.077007,0.490327,0.212746,0.662596,0.366126,0.586771,0.478465,0.467273,0.111897,0.439101,0.197846,0.552369,0.364564,0.550730,0.466544,0.502500
D,-0.000000,0.000000,0.188362,0.148084,0.315570,0.286613,0.443594,0.363811,0.488240,0.454596,0.007355,0.519432,0.058550,0.754622,0.088167,0.898446,0.096376,0.995345,0.000000,0.500984,0.266523,0.678323,0.419820,0.598184,0.474457,0.484206,0.026160,0.467855,0.236661,0.671493,0.387682,0.591523,0.455069,0.475979,0.096327,0.422040,0.239792,0.595107,0.366318,0.569391,0.446371,0.507382
D,0.021509,0.015012,0.214196,0.132243,0.308959,0.346846,0.412158,0.383859,0.518576,0.468823,0.034192,0.519438,0.073040,0.761297,0.045919,0.891914,0.050794,1.014319,0.006692,0.529576,0.232390,0.681286,0.423803,0.658535,0.468641,0.467679,0.027120,0.517403,0.262401,0.691075,0.380687,0.584914,0.499823,0.463409,0.081393,0.371669,0.193070,0.629222,0.305541,0.617703,0.438697,0.518439
D,0.031859,-0.018076,0.206329,0.117377,0.296343,0.299742,0.456091,0.374646,0.532562,0.452282,0.055598,0.521241,0.076646,0.776609,0.073016,0.904753,0.052803,0.998593,0.002104,0.517116,0.262809,0.731874,0.368867,0.562932,0.445749,0.483002,0.002779,0.432706,0.221526,0.627308,0.398583,0.600723,0.417000,0.502108,0.056301,0.405854,0.246565,0.597070,0.319430,0.582752,0.444945,0.564217
D,0.017850,0.044119,0.160086,0.100752,0.355337,0.297057,0.498438,0.397549,0.520287,0.468272,-0.018342,0.489103,-0.002247,0.738914,0.087856,0.895432,0.096871,0.931490,0.005936,0.546847,0.242646,0.635293,0.372603,0.579203,0.463159,0.489817,0.049194,0.438790,0.221000,0.622157,0.404628,0.579636,0.447668,0.514858,0.099150,0.472485,0.261840,0.581889,0.332473,0.564246,0.476610,0.465336
D,-0.000000,0.000000,0.188426,0.145600,0.320027,0.285131,0.449250,0.362960,0.496020,0.454124,0.014062,0.516737,0.065005,0.751595,0.092382,0.896201,0.102706,0.994712,0.000000,0.495057,0.268744,0.675938,0.423556,0.594312,0.479875,0.474731,0.023066,0.462918,0.230453,0.669610,0.386825,0.594008,0.457328,0.478664,0.092375,0.421462,0.240379,0.587839,0.367466,0.563937,0.450446,0.504695
D,-0.018512,-0.025280,0.175433,0.157234,0.325697,0.290197,0.407189,0.384040,0.525746,0.446768,-0.012952,0.541060,0.105016,0.762855,0.070518,0.864303,0.119645,0.947729,-0.041913,0.501365,0.315808,0.710421,0.434950,0.531633,0.406165,0.469513,0.076004,0.436154,0.256326,0.678876,0.369610,0.581685,0.406814,0.491855,0.072727,0.446921,0.233616,0.578949,0.304039,0.572583,0.465769,0.542460
D,-0.025347,0.007950,0.200418,0.107311,0.301243,0.249528,0.416158,0.351085,0.475251,0.453610,0.032858,0.534504,0.088602,0.743626,0.076931,0.859269,0.123694,1.024004,0.037589,0.504486,0.254742,0.643345,0.383342,0.535466,0.510718,0.486203,0.093149,0.459303,0.232171,0.680466,0.404773,0.573747,0.456072,0.501799,0.140083,0.394011,0.246225,0.590597,0.359166,0.594275,0.518849,0.515687
D,-0.023435,-0.042778,0.186218,0.173910,0.313798,0.292907,0.507879,0.382407,0.497719,0.413772,0.038200,0.533482,0.089773,0.714009,0.091434,0.913604,0.058681,0.998680,0.032587,0.475804,0.300526,0.676763,0.426454,0.623836,0.459389,0.435945,0.015098,0.472761,0.240950,0.679082,0.364497,0.608268,0.454176,0.524466,0.119055,0.437037,0.234940,0.577160,0.360671,0.572192,0.479801,0.460703
D,-0.000000,0.000000,0.197380,0.136627,0.334749,0.278335,0.466406,0.360609,0.491171,0.462191,0.015979,0.507621,0.057806,0.750396,0.083660,0.898947,0.091945,0.995764,0.000000,0.484346,0.254493,0.674492,0.413642,0.604296,0.478875,0.487269,0.021203,0.456144,0.220226,0.666302,0.375312,0.598335,0.453716,0.481377,0.091920,0.419098,0.222554,0.586725,0.351870,0.564418,0.444797,0.500104
D,-0.015034,0.037396,0.180272,0.111242,0.366788,0.293384,0.473033,0.378906,0.482643,0.463224,0.018781,0.497858,0.047862,0.724050,0.068647,0.885776,0.035906,1.013819,0.008002,0.528838,0.214950,0.644074,0.441692,0.568005,0.477441,0.479889,0.067126,0.454535,0.218501,0.672855,0.349421,0.583008,0.420675,0.500791,0.112607,0.393699,0.214786,0.591455,0.310261,0.580401,0.412655,0.449307
D,0.001740,0.018125,0.224308,0.150441,0.314273,0.333767,0.468295,0.332794,0.520183,0.470880,0.076930,0.554036,0.045896,0.713764,0.068688,0.829510,0.093007,1.025233,0.000733,0.498714,0.277657,0.719311,0.418611,0.597762,0.461752,0.535346,0.003465,0.511705,0.210325,0.641223,0.388141,0.605706,0.403956,0.502316,0.036676,0.473515,0.179955,0.595573,0.368141,0.593314,0.401734,0.515772
D,-0.032096,0.007519,0.139279,0.152347,0.373973,0.269819,0.469182,0.379147,0.501368,0.414222,-0.020636,0.495490,0.061233,0.736175,0.086572,0.929220,0.081107,0.962670,0.014948,0.521128,0.263098,0.660480,0.408395,0.589877,0.487560,0.424022,0.024082,0.450886,0.247228,0.623713,0.340834,0.608927,0.492783,0.477050,0.084974,0.395616,0.223715,0.557782,0.312044,0.580640,0.418661,0.520118
D,-0.000000,0.000000,0.191612,0.140604,0.335370,0.275435,0.465700,0.352185,0.499800,0.449181,0.016801,0.516398,0.075764,0.759286,0.107975,0.903123,0.117305,0.993096,0.000000,0.494575,0.270429,0.677834,0.422806,0.598796,0.482876,0.476798,0.014173,0.459949,0.211378,0.661536,0.371509,0.590846,0.450611,0.476518,0.071812,0.411353,0.207609,0.586064,0.343128,0.572539,0.433337,0.514970
D,-0.001894,0.029326,0.159093,0.164492,0.335618,0.231070,0.444110,0.331485,0.511590,0.420547,-0.020199,0.504269,0.103453,0.763018,0.099319,0.920689,0.088097,1.046760,0.049848,0.480383,0.272966,0.674214,0.406722,0.625890,0.438568,0.465199,0.028987,0.506135,0.251671,0.640373,0.347379,0.577674,0.492902,0.487997,0.156563,0.429629,0.257475,0.582595,0.317803,0.643947,0.393038,0.522590
D,0.002929,-0.018388,0.201759,0.135430,0.308648,0.236139,0.478237,0.328000,0.483452,0.423746,-0.007824,0.511213,0.037709,0.749112,0.124444,0.920619,0.101509,0.970359,0.034868,0.505978,0.285097,0.714742,0.453459,0.624548,0.429085,0.458939,-0.027189,0.499717,0.200083,0.637956,0.380150,0.609009,0.464213,0.476385,0.107087,0.400677,0.161847,0.573596,0.329490,0.591159,0.460724,0.491688
D,-0.064876,0.058633,0.197164,0.078469,0.285982,0.281947,0.449984,0.389143,0.484199,0.446715,-0.001414,0.512066,0.077423,0.799319,0.116886,0.905562,0.139573,1.032354,-0.040017,0.474625,0.276520,0.677758,0.404352,0.540058,0.474330,0.488025,0.057369,0.460776,0.211579,0.638012,0.371556,0.575902,0.467545,0.490207,0.114217,0.419825,0.223802,0.544947,0.353276,0.594721,0.436784,0.513639
D,-0.000000,0.000000,0.193863,0.132333,0.343535,0.265298,0.478042,0.347445,0.490704,0.450653,0.020416,0.503787,0.079091,0.759758,0.101576,0.905164,0.106636,0.994298,0.000000,0.486566,0.254433,0.672799,0.408110,0.593030,0.472182,0.471309,0.011457,0.458091,0.201722,0.659292,0.362766,0.585410,0.442737,0.464338,0.069998,0.416820,0.197494,0.592563,0.333387,0.568630,0.427007,0.498545
D,-0.005337,0.049381,0.145017,0.170024,0.355632,0.250633,0.494210,0.359817,0.461041,0.482440,0.026666,0.480392,0.125383,0.778046,0.113382,0.936467,0.107613,1.020359,0.024210,0.470363,0.249778,0.659101,0.450102,0.548801,0.482876,0.512468,-0.024911,0.460101,0.238142,0.648621,0.367233,0.578907,0.414366,0.453110,0.050759,0.370692,0.240912,0.605989,0.321923,0.554393,0.414341,0.476003
D,-0.011627,-0.027266,0.214919,0.076489,0.349594,0.238787,0.505363,0.342298,0.501338,0.431978,0.059410,0.466486,0.059127,0.730278,0.099545,0.907875,0.068749,0.962647,-0.033288,0.442605,0.233841,0.724921,0.412319,0.573128,0.464123,0.424553,-0.033502,0.432416,0.163609,0.684994,0.419494,0.611293,0.418971,0.464602,0.085388,0.428762,0.242240,0.556624,0.337886,0.567036,0.416829,0.451786
D,-0.043766,0.038697,0.219459,0.098066,0.289295,0.266140,0.475645,0.298969,0.552384,0.487858,-0.011974,0.543137,0.085961,0.781482,0.076292,0.923744,0.173281,1.029705,0.022174,0.430967,0.280049,0.686579,0.383663,0.583313,0.469536,0.487388,-0.031831,0.459663,0.248194,0.675301,0.330492,0.593527,0.457229,0.402348,0.079160,0.417280,0.150414,0.649962,0.342699,0.562445,0.401188,0.501871
D,-0.000000,0.000000,0.188292,0.140266,0.338602,0.267258,0.472345,0.349263,0.496987,0.454024,0.025617,0.518854,0.088886,0.764788,0.116171,0.903287,0.127768,0.991804,0.000000,0.499774,0.274128,0.669596,0.413862,0.586027,0.469263,0.466558,0.005542,0.468733,0.201352,0.658102,0.353214,0.583717,0.429700,0.469580,0.054910,0.423061,0.186086,0.595954,0.318980,0.575744,0.410312,0.513066
D,0.012558,0.039860,0.184806,0.099755,0.336226,0.264631,0.521566,0.357954,0.508468,0.437544,0.036202,0.493646,0.093799,0.788584,0.115768,0.936377,0.169506,1.025890,0.001844,0.471789,0.244260,0.685902,0.421904,0.584279,0.453345,0.466942,-0.035809,0.449418,0.195274,0.679130,0.382438,0.525414,0.382026,0.491039,0.057997,0.441909,0.167419,0.578957,0.296870,0.495417,0.376714,0.481046
D,-0.027804,-0.029189,0.160723,0.133175,0.355114,0.181009,0.444134,0.322161,0.450997,0.487240,-0.007720,0.531228,0.065115,0.802741,0.090678,0.875650,0.122186,1.036699,0.014649,0.479728,0.279321,0.652212,0.458241,0.609257,0.468024,0.472144,-0.013647,0.468680,0.218581,0.684638,0.340289,0.519151,0.450478,0.450680,0.080102,0.377278,0.195743,0.589731,0.305502,0.619278,0.388404,0.553817
D,0.065158,-0.037867,0.160924,0.135384,0.331804,0.300391,0.505405,0.334524,0.473434,0.444085,0.032138,0.484419,0.051109,0.742190,0.102459,0.892072,0.067549,0.978953,-0.039222,0.501769,0.236190,0.679305,0.408626,0.628639,0.477773,0.460638,0.003849,0.470228,0.183441,0.650375,0.337868,0.572880,0.415860,0.458358,0.053439,0.439577,0.213481,0.576989,0.276429,0.599057,0.474926,0.528718
D,-0.000000,0.000000,0.233661,0.163060,0.339616,0.283296,0.432854,0.394824,0.478822,0.543574,0.027630,0.522566,0.029800,0.744832,0.036707,0.890786,0.025608,0.999672,0.000000,0.531773,0.168876,0.707108,0.329664,0.637486,0.419391,0.536605,0.000450,0.536900,0.164509,0.716000,0.316800,0.611587,0.395945,0.487233,0.038139,0.550871,0.134394,0.725697,0.256565,0.718710,0.336688,0.676553
D,-0.010217,0.006496,0.238124,0.161729,0.312472,0.312749,0.408878,0.423479,0.494841,0.585901,0.049042,0.452684,-0.012639,0.746588,0.086811,0.878697,-0.015839,1.023336,0.048826,0.507725,0.152759,0.755980,0.291164,0.605283,0.386745,0.541471,-0.008251,0.518656,0.190615,0.740465,0.360047,0.613176,0.418976,0.452758,0.059609,0.573805,0.110520,0.743674,0.263740,0.732433,0.365018,0.681715
D,0.034685,-0.033527,0.207674,0.158143,0.316419,0.290996,0.422673,0.385808,0.468936,0.550680,0.027403,0.533530,0.018073,0.689405,0.058855,0.867327,0.033980,0.999563,0.066311,0.451295,0.149094,0.718305,0.281490,0.636100,0.369016,0.536239,0.001482,0.558121,0.172569,0.686831,0.318393,0.621000,0.368525,0.516286,0.054869,0.501866,0.134864,0.694583,0.196847,0.701321,0.325175,0.740140
D,-0.016574,0.000929,0.242517,0.151814,0.347422,0.261419,0.399433,0.376823,0.439872,0.560994,0.024763,0.507048,0.046361,0.726018,-0.054096,0.873679,0.047332,1.028653,-0.037910,0.512981,0.189586,0.661203,0.319169,0.645624,0.460206,0.521505,-0.043047,0.512115,0.234998,0.724066,0.352081,0.609925,0.370778,0.453845,0.022892,0.571199,0.093811,0.746070,0.220480,0.708274,0.333563,0.693338
D,-0.000000,0.000000,0.205668,0.133599,0.344227,0.261312,0.475796,0.354577,0.492462,0.469447,0.027508,0.512948,0.068534,0.757452,0.087784,0.896788,0.084953,0.996385,0.000000,0.503548,0.222514,0.682996,0.380479,0.607240,0.449310,0.497412,-0.001523,0.480542,0.182150,0.669806,0.343661,0.593777,0.422647,0.477749,0.040250,0.443007,0.172000,0.604805,0.308669,0.576299,0.397140,0.505368
D,-0.010173,0.014363,0.194838,0.143818,0.342114,0.265745,0.479804,0.350106,0.525973,0.485805,0.031227,0.495207,0.139662,0.802220,0.056483,0.913588,0.121056,1.009979,-0.001444,0.483910,0.235501,0.654634,0.367937,0.590400,0.463524,0.537135,-0.017106,0.467877,0.219774,0.652622,0.257886,0.648284,0.451696,0.500738,0.050343,0.439473,0.114830,0.597145,0.300317,0.571163,0.413229,0.549413
D,-0.003498,-0.007404,0.249580,0.108551,0.342049,0.260928,0.450770,0.343121,0.481381,0.491485,0.017577,0.503851,0.081504,0.741626,0.059305,0.975174,0.082140,1.001994,-0.009227,0.457271,0.205834,0.648371,0.395652,0.618564,0.465555,0.466728,-0.062646,0.411254,0.192967,0.656746,0.304130,0.609064,0.447536,0.474752,0.021540,0.435074,0.205880,0.635283,0.300618,0.579141,0.532343,0.567561
D,0.000156,0.041706,0.216005,0.176901,0.321644,0.282388,0.505355,0.352889,0.478641,0.475227,-0.014156,0.500152,0.051041,0.782113,0.102262,0.915190,0.119314,0.961912,0.047580,0.530057,0.180357,0.705401,0.396587,0.618668,0.420504,0.496175,0.017537,0.480944,0.141765,0.658248,0.353602,0.587601,0.478401,0.499660,0.060994,0.447841,0.158306,0.655233,0.297134,0.578094,0.394304,0.463602
D,-0.000000,0.000000,0.222080,0.135533,0.339542,0.249771,0.444251,0.337051,0.494296,0.454900,0.048888,0.505838,0.079919,0.745338,0.098083,0.883676,0.087863,0.996133,-0.000000,0.509834,0.191356,0.681411,0.347803,0.599468,0.419974,0.497303,-0.017052,0.489132,0.180219,0.671520,0.338830,0.581639,0.410631,0.469581,0.011098,0.451668,0.160825,0.616662,0.297593,0.588299,0.378088,0.525196
D,0.013021,0.029000,0.204648,0.126437,0.314697,0.303395,0.457028,0.376361,0.481738,0.471427,0.001805,0.487703,0.140760,0.757519,0.088162,0.828422,0.093281,0.983490,0.025420,0.466228,0.218047,0.667800,0.316693,0.605004,0.474487,0.518969,-0.007772,0.472999,0.222730,0.681947,0.279592,0.604478,0.417808,0.465891,0.048275,0.429426,0.144887,0.611192,0.309799,0.569815,0.348026,0.518875
D,-0.015366,0.049189,0.160049,0.161634,0.277748,0.246868,0.411226,0.289927,0.533351,0.476121,0.050105,0.509103,0.056335,0.730859,0.076741,0.867258,0.080842,1.035397,0.017139,0.518504,0.160919,0.694169,0.272446,0.578022,0.382300,0.485476,-0.026342,0.475432,0.178986,0.675330,0.378317,0.556651,0.384934,0.465642,0.019503,0.452105,0.214926,0.641365,0.338097,0.601166,0.379901,0.448529
D,0.000678,-0.010634,0.212231,0.164250,0.298757,0.281399,0.462104,0.342599,0.517485,0.399784,0.058939,0.459803,0.089008,0.707666,0.072459,0.868312,0.077563,1.000021,0.019377,0.579953,0.169099,0.683215,0.343052,0.565379,0.358814,0.466498,-0.036113,0.475383,0.135011,0.660077,0.331181,0.552262,0.430951,0.415922,0.017111,0.442466,0.161084,0.626821,0.304100,0.527279,0.368116,0.536902
D,-0.000000,0.000000,0.216472,0.155179,0.340463,0.282028,0.450576,0.378357,0.472418,0.493480,0.048844,0.540293,0.084227,0.767133,0.093567,0.896669,0.084512,0.996422,-0.000000,0.541521,0.191746,0.704256,0.319153,0.639326,0.377004,0.540645,-0.019247,0.521764,0.172829,0.689190,0.320721,0.611360,0.395587,0.505164,0.004170,0.485615,0.142006,0.647846,0.274220,0.622718,0.362499,0.558652
D,0.012714,-0.026210,0.181747,0.170024,0.352853,0.247384,0.409746,0.363776,0.446298,0.494361,0.086305,0.499720,0.076822,0.740548,0.112721,0.917764,0.053715,1.025586,0.021198,0.532664,0.210247,0.659347,0.372451,0.637053,0.410815,0.518696,-0.070708,0.531801,0.146576,0.666189,0.323856,0.632360,0.402234,0.532778,-0.005944,0.522358,0.162613,0.611174,0.289198,0.619397,0.334451,0.571712
D,0.008500,0.015748,0.179225,0.085105,0.325810,0.269274,0.460463,0.292872,0.486984,0.513621,0.070900,0.561029,0.046985,0.736554,0.083180,0.887694,0.051749,0.997450,0.009726,0.547746,0.192339,0.712493,0.308305,0.652091,0.386186,0.514019,0.033128,0.564619,0.190890,0.720589,0.327507,0.598559,0.426920,0.511588,0.023497,0.529917,0.093715,0.659904,0.245491,0.616110,0.337859,0.592139
D,0.012535,0.000334,0.168560,0.137747,0.324807,0.289701,0.436216,0.367317,0.397823,0.519837,0.011851,0.517812,0.098320,0.791752,0.092421,0.905934,0.111430,0.916271,0.024673,0.474977,0.180292,0.715000,0.288105,0.631455,0.279788,0.499682,-0.045354,0.489962,0.166190,0.738730,0.344175,0.635986,0.407293,0.460295,0.037648,0.494854,0.155622,0.670028,0.287461,0.631703,0.335918,0.525948
D,-0.000000,0.000000,0.210716,0.151984,0.338724,0.270044,0.443347,0.364125,0.470712,0.473822,0.053930,0.540384,0.102111,0.768690,0.117810,0.893992,0.116995,0.993133,-0.000000,0.542008,0.205612,0.692711,0.326687,0.624460,0.382049,0.527224,-0.021682,0.523320,0.178627,0.680984,0.316989,0.603626,0.384283,0.499029,-0.001257,0.485785,0.143624,0.635339,0.272396,0.608500,0.354686,0.544961
D,-0.032482,-0.089348,0.193417,0.166173,0.370344,0.246216,0.438239,0.346895,0.475522,0.430850,0.036153,0.514489,0.119359,0.715645,0.127272,0.920002,0.071809,0.972653,-0.026911,0.588839,0.245745,0.719823,0.338492,0.650666,0.399644,0.574975,-0.020433,0.449177,0.163836,0.697336,0.307210,0.639346,0.359184,0.526040,-0.045165,0.495857,0.119320,0.595223,0.270652,0.572040,0.377802,0.534149
D,0.002801,-0.001621,0.227633,0.131129,0.372319,0.331371,0.410113,0.411949,0.454176,0.458668,0.079322,0.507209,0.120086,0.785218,0.115637,0.890660,0.100922,1.014827,-0.011645,0.575387,0.239941,0.649053,0.287001,0.618878,0.353828,0.506551,-0.046193,0.581114,0.212979,0.655711,0.259115,0.586515,0.345814,0.520282,0.000524,0.468495,0.141052,0.600689,0.265375,0.657440,0.334071,0.547927
D,-0.023519,-0.024009,0.235565,0.114808,0.333219,0.243673,0.484547,0.343332,0.432559,0.468962,0.049179,0.573219,0.085648,0.781359,0.087760,0.926577,0.143454,1.009757,0.024995,0.549746,0.209028,0.658240,0.306528,0.649758,0.406213,0.553864,-0.034595,0.573644,0.173480,0.694751,0.400308,0.588213,0.405841,0.453665,-0.012379,0.503641,0.125070,0.636490,0.279183,0.613316,0.288526,0.612236
D,-0.000000,0.000000,0.207928,0.155854,0.313184,0.275567,0.401835,0.370836,0.427798,0.489305,0.058077,0.536665,0.060217,0.766902,0.066830,0.894103,0.054561,0.998510,0.000000,0.537348,0.138290,0.714617,0.276742,0.651736,0.345406,0.550628,-0.040825,0.522039,0.123279,0.708328,0.263849,0.632962,0.327916,0.522845,-0.044079,0.488905,0.083738,0.655925,0.208821,0.636468,0.283876,0.575910
